ID,SpellID,ModalNextSpell,SpellClassSet,SpellClassMask[0],SpellClassMask[1],SpellClassMask[2],SpellClassMask[3]
43436,543,0,3,8,0,0,0
43437,633,0,10,32768,0,0,0
43438,172,0,5,2,0,0,0
43439,403,0,11,1,0,0,0
43440,597,0,3,1073741824,0,0,0
43441,598,0,6,128,0,0,0
43442,139,0,6,64,0,0,0
43443,136,0,9,8388608,0,0,0
43444,128,0,5,0,0,0,0
43445,130,0,3,-2147483648,0,0,0
43446,71,0,4,8388608,0,0,0
43447,585,0,6,128,0,0,0
43448,586,0,6,16384,4096,0,0
43449,587,0,3,1073741824,0,0,0
43450,688,0,5,536870912,0,0,0
43451,99,0,7,8,0,0,0
43452,10,0,3,524416,0,0,0
43453,467,0,7,256,0,0,0
43454,116,0,3,1572896,0,0,0
43455,133,0,3,1,0,0,0
43456,143,0,3,1,0,0,0
43457,145,0,3,1,0,0,0
43458,547,0,11,64,0,0,0
43459,548,0,11,1,0,0,0
43460,491,0,3,0,0,0,0
43461,635,0,10,-2147483648,0,0,0
43462,465,0,10,64,0,0,0
43463,589,0,6,32768,0,0,0
43464,53,0,8,8388612,0,0,0
43465,2374,0,13,0,0,0,0
43466,603,0,5,0,2,0,0
43467,689,0,5,8,0,0,0
43468,591,0,6,128,0,0,0
43469,339,0,7,512,0,0,0
43470,724,0,6,1073741824,0,0,0
43471,596,0,6,512,0,0,0
43472,552,0,6,0,1,0,0
43473,594,0,6,32768,0,0,0
43474,75,0,9,1,0,0,0
43475,437,0,13,0,0,0,0
43476,408,0,8,2097152,0,0,0
43477,421,0,11,2,0,0,0
43478,639,0,10,-2147483648,0,0,0
43479,526,0,11,0,8,0,0
43480,78,0,4,64,0,0,0
43481,100,0,4,1,0,0,0
43482,453,0,6,0,64,0,0
43483,122,0,3,524352,0,0,0
43484,285,0,4,64,0,0,0
43485,438,0,13,0,0,0,0
43486,439,0,13,0,0,0,0
43487,440,0,13,0,0,0,0
43488,441,0,13,0,0,0,0
43489,602,0,6,2,0,0,0
43490,921,0,8,-2147483648,0,0,0
43491,913,0,11,64,0,0,0
43492,982,0,9,16777216,0,0,0
43493,984,0,6,128,0,0,0
43494,527,0,6,0,1,0,0
43495,528,0,6,0,1,0,0
43496,693,0,5,1048576,0,0,0
43497,853,0,10,2048,0,0,0
43498,59,59,0,0,0,0,0
43499,60,59,0,0,0,0,0
43500,61,59,0,0,0,0,0
43501,66,0,3,-2147483648,0,0,0
43502,697,0,5,536870912,0,0,0
43503,779,0,7,0,1048576,0,0
43504,1026,0,10,-2147483648,0,0,0
43505,695,0,5,1,0,0,0
43506,780,0,7,0,1048576,0,0
43507,781,0,9,0,16384,0,0
43508,930,0,11,2,0,0,0
43509,686,0,5,1,0,0,0
43510,707,0,5,4,0,0,0
43511,709,0,5,8,0,0,0
43512,647,0,10,-2147483648,0,0,0
43513,783,0,7,0,16384,0,0
43514,700,0,3,0,0,0,0
43515,772,0,4,32,0,0,0
43516,915,0,11,1,0,0,0
43517,1094,0,5,4,0,0,0
43518,1042,0,10,-2147483648,0,0,0
43519,703,0,8,256,0,0,0
43520,529,0,11,1,0,0,0
43521,782,0,7,256,0,0,0
43522,943,0,11,1,0,0,0
43523,1002,0,9,4194304,0,0,0
43524,1004,0,6,128,0,0,0
43525,604,0,3,8192,0,0,0
43526,605,0,6,131072,0,0,0
43527,837,0,3,1572896,0,0,0
43528,72,0,4,2048,0,0,0
43529,1714,0,5,-2147483648,0,0,0
43530,845,0,4,4194304,0,0,0
43531,857,0,3,0,0,0,0
43532,691,0,5,536870912,0,0,0
43533,588,0,6,2,0,0,0
43534,1008,0,3,8192,0,0,0
43535,1010,0,5,-2147483648,0,0,0
43536,673,0,13,0,0,0,0
43537,348,0,5,4,0,0,0
43538,355,0,4,32768,0,0,0
43539,370,0,11,0,2048,0,0
43540,676,0,4,512,0,0,0
43541,712,0,5,536870912,0,0,0
43542,834,0,13,0,0,0,0
43543,759,0,3,1073741824,0,0,0
43544,871,0,4,8192,0,0,0
43545,284,0,4,64,0,0,0
43546,755,0,5,16777216,0,0,0
43547,865,0,3,524352,0,0,0
43548,1430,0,7,16,0,0,0
43549,939,0,11,64,0,0,0
43550,475,0,3,-2147483648,0,0,0
43551,1044,0,10,268435472,0,0,0
43552,905,0,11,1024,0,0,0
43553,324,0,11,1024,0,0,0
43554,331,0,11,64,0,0,0
43555,332,0,11,64,0,0,0
43556,1490,0,5,0,512,0,0
43557,205,0,3,1572896,0,0,0
43558,265,0,5,4,0,0,0
43559,1108,0,5,32768,0,0,0
43560,1735,0,7,8,0,0,0
43561,1075,0,7,256,0,0,0
43562,3034,75,9,0,128,0,0
43563,1760,0,8,8388610,0,0,0
43564,2060,0,6,4096,0,0,0
43565,2061,0,6,2048,0,0,0
43566,1671,0,4,2048,0,0,0
43567,1672,0,4,2048,0,0,0
43568,1454,0,5,262144,0,0,0
43569,27546,0,7,536870912,0,0,0
43570,1978,75,9,16384,0,0,0
43571,1842,0,8,-2147483648,0,0,0
43572,1456,0,5,262144,0,0,0
43573,1766,0,8,16,0,0,0
43574,27555,0,7,4096,0,0,0
43575,1776,0,8,8,0,0,0
43576,1767,0,8,16,0,0,0
43577,1768,0,8,16,0,0,0
43578,1769,0,8,16,0,0,0
43579,1244,0,6,8,0,0,0
43580,2687,0,4,256,0,0,0
43581,1161,0,4,524288,0,0,0
43582,774,0,7,16,0,0,0
43583,1082,0,7,4096,0,0,0
43585,3045,0,9,32,0,0,0
43586,959,0,11,64,0,0,0
43587,2791,0,6,8,0,0,0
43588,1088,0,5,1,0,0,0
43589,2599,0,13,0,0,0,0
43590,1459,0,3,1024,0,0,0
43591,1460,0,3,1024,0,0,0
43592,1090,0,3,0,0,0,0
43593,768,0,7,-2147483648,0,0,0
43594,769,0,7,0,1048576,0,0
43595,770,0,7,1024,0,0,0
43596,2098,0,8,8519680,0,0,0
43597,2600,0,13,0,0,0,0
43599,1014,0,5,1024,0,0,0
43600,1062,0,7,512,0,0,0
43601,1064,0,11,256,0,0,0
43602,2589,0,8,8388612,0,0,0
43603,2590,0,8,8388612,0,0,0
43604,2023,0,13,0,0,0,0
43605,2024,0,13,0,0,0,0
43606,2565,0,4,4096,0,0,0
43607,3029,0,7,4096,0,0,0
43608,1449,0,3,4096,0,0,0
43609,1495,0,9,2,0,0,0
43610,1680,0,4,0,4,0,0
43611,1757,0,8,8388610,0,0,0
43612,1758,0,8,8388610,0,0,0
43613,2591,0,8,8388612,0,0,0
43614,1455,0,5,262144,0,0,0
43615,1725,0,8,4096,0,0,0
43616,1160,0,4,131072,0,0,0
43617,988,0,6,0,1,0,0
43618,990,0,3,1073741824,0,0,0
43619,1786,0,8,4194304,0,0,0
43620,7386,0,4,16384,0,0,0
43621,1787,0,8,4194304,0,0,0
43622,699,0,5,8,0,0,0
43623,740,0,7,128,0,0,0
43624,1784,0,8,4194304,0,0,0
43625,1066,0,7,536870912,0,0,0
43626,2819,0,8,65536,0,0,0
43627,1785,0,8,4194304,0,0,0
