ID,DifficultyID,CastingTimeIndex,DurationIndex,RangeIndex,SchoolMask,Speed,LaunchDelay,MinDuration,SpellIconFileDataID,ActiveIconFileDataID,Attributes[0],Attributes[1],Attributes[2],Attributes[3],Attributes[4],Attributes[5],Attributes[6],Attributes[7],Attributes[8],Attributes[9],Attributes[10],Attributes[11],Attributes[12],Attributes[13],SpellID
26979,0,1,25,1,1,0,0,0,132156,0,763625472,168,16389,269486080,128,393224,0,0,0,0,0,0,0,0,43680
26980,0,1,25,1,1,0,0,0,136072,0,763625472,168,16385,269486080,128,393224,0,0,0,0,0,0,0,0,43681
33016,0,1,4,13,1,0,0,0,133854,0,603979776,131208,4,0,128,0,0,0,0,1048576,0,0,0,0,51120
39568,0,16,21,1,1,0,0,0,132249,0,269582608,0,0,0,0,0,131072,0,4096,0,0,0,0,0,58615
54030,0,1,21,1,1,0,0,0,136243,0,-1451228800,268436512,268976133,68354048,8388736,393224,12292,1073741824,0,0,0,0,130,0,74410
84568,0,1,21,1,1,0,0,0,0,0,-1384120320,1056,268976133,1245184,8388737,393224,12292,0,4096,0,0,0,0,0,110310
132137,0,1,3,6,64,0,0,0,132118,0,763363584,168,540677,269484032,4,393224,4096,0,0,0,0,0,0,0,158263
160363,0,1,21,1,1,0,0,0,132487,0,-1451229184,1056,268976133,1245184,8388736,393224,1060868,0,0,0,0,0,0,512,186403
193020,0,1,25,1,1,0,0,0,132156,0,763625472,168,16389,269484032,128,393224,0,0,0,0,0,0,0,0,219003
193021,0,1,25,1,1,0,0,0,136072,0,763625472,168,16385,269484032,128,393224,0,0,0,0,0,0,0,0,219004
268738,0,1,21,13,1,0,0,0,456563,0,696254720,1056,273170437,269681152,8388736,393224,4608,0,0,1048576,0,0,0,0,262591
268751,0,1,685,13,1,0,0,0,136243,0,696254720,1056,273170437,269681152,8388736,393224,4608,0,0,1048576,0,0,0,0,262604
268788,0,1,685,13,1,0,0,0,136243,0,696254720,1056,273170437,269681152,8388736,393224,4608,0,0,1048576,0,0,0,0,262641
314056,0,1,9,1,4,0,0,0,135806,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,543
314057,0,1,21,1,1,0,0,0,132223,0,262352,0,0,0,0,0,0,0,0,0,0,0,0,0,601
314058,0,4,3,4,4,0,0,0,135817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
314059,0,38,0,1,1,0,0,0,136192,0,65584,1024,0,0,0,0,0,0,0,0,0,0,0,0,10015
314060,0,1,0,1,1,0,0,0,136222,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,10074
314063,0,15,21,1,2,0,0,0,135926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461
314069,0,14,21,1,1,0,0,0,132266,136116,269582608,0,0,0,0,0,131072,0,0,0,0,0,0,0,459
314073,0,1,0,5,2,0,0,0,135928,0,327680,131074,0,0,0,0,0,0,0,0,0,0,0,0,633
314074,0,5,0,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428
314075,0,5,29,4,32,0,0,0,136118,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,172
314077,0,4,3,4,4,0,0,0,135817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
314078,0,16,0,4,8,20,0,0,136048,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,403
314079,0,14,0,1,64,0,0,0,133951,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,597
314080,0,19,0,4,2,0,0,0,135924,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,598
314084,0,1,21,1,1,0,0,0,135955,135954,64,0,0,0,0,0,0,0,0,0,0,0,0,0,463
314087,0,14,0,1,1,0,0,0,136235,0,256,1024,0,0,0,0,0,0,0,0,0,0,0,0,483
314089,0,1,0,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
314090,0,1,8,5,2,0,0,0,135953,0,65536,0,524288,128,0,0,0,0,16777216,0,0,0,0,0,139
314091,0,5,0,5,2,15,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
314092,0,5,0,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446
314093,0,5,0,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
314094,0,1,0,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448
314095,0,1,7,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450
314096,0,7,0,1,8,0,0,0,136010,0,268500992,131072,0,0,0,0,0,0,0,0,0,0,0,0,556
314102,0,1,8,36,8,0,0,0,132179,0,65536,0,0,0,64,0,0,0,0,0,0,0,0,0,136
314103,0,50,18,4,16,0,0,0,135834,0,1073807360,0,0,0,0,0,0,0,0,0,0,0,0,0,512
314105,0,1,0,13,32,0,0,0,136235,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,514
314106,0,1,26,13,1,0,0,0,132106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
314111,0,1,32,1,2,0,0,0,135954,0,327680,32768,2097152,0,0,0,0,0,0,0,0,0,0,0,498
314112,0,1,8,6,2,0,0,0,135985,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,67
314114,0,6,22,13,32,0,0,0,136155,136155,65536,139268,0,0,0,0,0,0,0,0,0,0,0,0,126
314115,0,1,0,1,32,0,0,0,134131,0,0,32768,-2147483648,0,0,0,0,0,0,0,0,0,0,0,128
314116,0,1,9,1,64,0,0,0,135992,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,130
314117,0,1,6,4,32,0,0,0,136153,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,132
314124,0,2,0,3,32,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
314125,0,1,21,1,1,0,0,0,132341,132341,688193552,268436480,0,1048576,2097152,0,0,0,0,0,0,0,0,0,71
314126,0,1,1,3,8,0,0,0,135996,0,65536,0,64,0,-536870912,0,0,0,0,0,0,0,0,0,228
314127,0,1,1,4,8,0,0,0,136091,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,246
314129,0,14,21,1,1,0,0,0,132266,136116,269582608,0,0,0,0,0,131072,0,0,0,0,0,0,0,581
314130,0,16,0,4,2,0,0,0,135924,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,585
314131,0,1,1,1,32,0,0,0,135994,0,327680,1024,524288,0,0,0,0,0,0,0,0,0,0,0,586
314132,0,14,0,1,64,0,0,0,133952,0,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,587
314133,0,16,8,4,16,0,0,0,135834,0,1073807360,0,0,0,0,0,0,0,0,0,0,0,0,0,113
314134,0,7,21,1,32,0,0,0,136218,0,65536,131073,0,0,0,0,0,0,0,0,0,0,0,0,688
314135,0,1,9,1,1,0,0,0,132121,0,262160,0,0,0,0,0,0,0,0,0,0,0,0,0,99
314136,0,1,0,1,1,0,0,0,136168,0,687865856,32,0,268435456,0,393224,0,0,0,0,0,0,0,0,7
314137,0,1,31,4,16,0,0,0,135857,0,65536,268435596,4194304,0,0,8192,0,0,0,0,0,0,0,0,10
314138,0,1,0,6,16,0,0,0,135846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
314139,0,1,1,1,1,0,0,0,136235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
